Dataset,Baseline_Precision,Baseline_Recall,Baseline_F1,Advanced_Precision,Advanced_Recall,Advanced_F1,P_Value_F1,Significant
caffe,0.0,0.0,0.0,0.5225925925925926,0.22026732526732523,0.28249347602288777,5.5281552368554166e-06,True
incubator-mxnet,0.0,0.0,0.0,0.578542407884513,0.4116565473694631,0.47053657283772055,1.7289484360195754e-06,True
keras,0.0,0.0,0.0,0.6682130079309382,0.5344036433861973,0.588552180027494,1.7311263949197288e-06,True
pytorch,0.0,0.0,0.0,0.5981554307281187,0.42595858975740364,0.49161496754941564,1.7235135468062217e-06,True
tensorflow,0.5,0.007535078254604717,0.014820760435665627,0.7181185597372569,0.6593428315641585,0.68606508127319,1.7333066441991056e-06,True
